ioname,slug,value,date_of_information,ranking,region
"Tonga","tonga","27.1","2021",135,"Australia and Oceania"
"Norway","norway","26.9","2022",136,"Europe"
"Iceland","iceland","26.6","2018",137,"Europe"
"Syria","syria","26.6","2022",138,"Middle East"
"Belgium","belgium","26.4","2022",139,"Europe"
"Kyrgyzstan","kyrgyzstan","26.4","2022",140,"Central Asia"
"United Arab Emirates","united-arab-emirates","26.4","2018",141,"Middle East"
"Moldova","moldova","25.9","2022",142,"Europe"
"Czechia","czechia","25.9","2022",143,"Europe"
"Netherlands","netherlands","25.7","2021",144,"Europe"
"Ukraine","ukraine","25.6","2020",145,"Europe"
"India","india","25.5","2022",146,"South Asia"
"Belarus","belarus","24.4","2020",147,"Europe"
"Slovenia","slovenia","24.3","2022",148,"Europe"
"Slovakia","slovakia","24.1","2022",149,"Europe"
